Huntsville,Alabama,216963
Montgomery,Alabama,198665
Birmingham,Alabama,197575
Mobile,Alabama,184952
Tuscaloosa,Alabama,100618
Hoover,Alabama,92589
Auburn,Alabama,78564
Dothan,Alabama,71175
Madison,Alabama,58357
Decatur,Alabama,57804
Florence,Alabama,39933
Vestavia Hills,Alabama,38801
Phenix City,Alabama,38428
Prattville,Alabama,38286
Gadsden,Alabama,33769
Alabaster,Alabama,33676
Opelika,Alabama,31538
Northport,Alabama,31009
Enterprise,Alabama,29395
Daphne,Alabama,28777
Athens,Alabama,27027
Trussville,Alabama,26388
Homewood,Alabama,26054
Bessemer,Alabama,25615
Pelham,Alabama,24688
Fairhope,Alabama,23147
Albertville,Alabama,22522
Oxford,Alabama,22312
Mountain Brook,Alabama,22158
Foley,Alabama,22063
Helena,Alabama,21560
Anniston,Alabama,21157
Prichard,Alabama,19097
Cullman,Alabama,18635
Selma,Alabama,17625
Troy,Alabama,17609
Calera,Alabama,17414
Millbrook,Alabama,17217
Muscle Shoals,Alabama,16618
Hueytown,Alabama,16531
Gardendale,Alabama,16444
Saraland,Alabama,16319
Center Point,Alabama,16137
Gulf Shores,Alabama,15736
Chelsea,Alabama,15653
Scottsboro,Alabama,15640
Talladega,Alabama,15621
Hartselle,Alabama,15549
Fort Payne,Alabama,14834
Alexander City,Alabama,14618
Jasper,Alabama,14354
Ozark,Alabama,14313
Moody,Alabama,13563
Irondale,Alabama,13518
Pell City,Alabama,13248
Jacksonville,Alabama,13057
Eufaula,Alabama,12675
Sylacauga,Alabama,12373
Leeds,Alabama,12271
Russellville,Alabama,10789
Valley,Alabama,10513
Spanish Fort,Alabama,10392
Clay,Alabama,10311
Boaz,Alabama,10161
Rainbow City,Alabama,10154
Pike Road,Alabama,9978
Fairfield,Alabama,9832
Fultondale,Alabama,9789
Pleasant Grove,Alabama,9495
Southside,Alabama,9465
Sheffield,Alabama,9337
Tuscumbia,Alabama,9068
Tuskegee,Alabama,8870
Clanton,Alabama,8762
Andalusia,Alabama,8715
Guntersville,Alabama,8713
Atmore,Alabama,8542
Arab,Alabama,8498
Orange Beach,Alabama,8347
Bay Minette,Alabama,7894
Greenville,Alabama,7263
Montevallo,Alabama,7255
Wetumpka,Alabama,7190
Pinson,Alabama,7183
Lincoln,Alabama,7082
Demopolis,Alabama,7009
Hamilton,Alabama,6991
Robertsdale,Alabama,6916
Oneonta,Alabama,6805
Satsuma,Alabama,6785
Lanett,Alabama,6773
Opp,Alabama,6653
Chickasaw,Alabama,6395
Tarrant,Alabama,6005
Monroeville,Alabama,5841
Attalla,Alabama,5839
Rainsville,Alabama,5604
Margaret,Alabama,5427
Glencoe,Alabama,5412
Smiths Station,Alabama,5381
Roanoke,Alabama,5279
Brewton,Alabama,5261
Semmes,Alabama,5209
Headland,Alabama,5145
Midfield,Alabama,5115
Odenville,Alabama,4999
Springville,Alabama,4935
Daleville,Alabama,4862
Winfield,Alabama,4829
Piedmont,Alabama,4810
Tallassee,Alabama,4808
Childersburg,Alabama,4689
Jackson,Alabama,4644
Hokes Bluff,Alabama,4435
Argo,Alabama,4401
Haleyville,Alabama,4351
Adamsville,Alabama,4294
Columbiana,Alabama,4263
Fayette,Alabama,4185
Geneva,Alabama,4185
Loxley,Alabama,4111
Valley Grande,Alabama,4079
Kimberly,Alabama,3946
Citronelle,Alabama,3924
Priceville,Alabama,3685
Lake View,Alabama,3640
Thomasville,Alabama,3548
Centre,Alabama,3528
Elba,Alabama,3401
Weaver,Alabama,3401
Heflin,Alabama,3400
Triana,Alabama,3396
Evergreen,Alabama,3370
Moulton,Alabama,3358
Union Springs,Alabama,3314
Hanceville,Alabama,3215
Warrior,Alabama,3204
Red Bay,Alabama,3184
Marion,Alabama,3178
Livingston,Alabama,3153
Moundville,Alabama,3072
Dadeville,Alabama,2998
Brent,Alabama,2977
New Hope,Alabama,2891
Eutaw,Alabama,2859
Centreville,Alabama,2792
Luverne,Alabama,2680
Hartford,Alabama,2651
Jemison,Alabama,2650
Owens Cross Roads,Alabama,2635
La Fayette,Alabama,2588
Good Hope,Alabama,2548
Trinity,Alabama,2542
Indian Springs Village,Alabama,2491
Lineville,Alabama,2474
Brookwood,Alabama,2473
Sumiton,Alabama,2422
York,Alabama,2415
Abbeville,Alabama,2379
Ashville,Alabama,2347
Brighton,Alabama,2299
Henagar,Alabama,2298
Dora,Alabama,2290
Clayton,Alabama,2273
Taylor,Alabama,2268
East Brewton,Alabama,2266
Midland City,Alabama,2264
Bridgeport,Alabama,2257
Morris,Alabama,2254
Riverside,Alabama,2251
Ashford,Alabama,2247
Kinsey,Alabama,2243
Greensboro,Alabama,2195
Bayou La Batre,Alabama,2182
Guin,Alabama,2172
Vance,Alabama,2145
Aliceville,Alabama,2123
Slocomb,Alabama,2094
Thorsby,Alabama,2093
Brundidge,Alabama,2070
Lipscomb,Alabama,2049
Uniontown,Alabama,2037
Collinsville,Alabama,2029
Elberta,Alabama,2015
Coaling,Alabama,2010
Vincent,Alabama,1997
Ashland,Alabama,1969
Stevenson,Alabama,1960
Cowarts,Alabama,1953
Creola,Alabama,1936
Graysville,Alabama,1915
Florala,Alabama,1906
Linden,Alabama,1887
Vernon,Alabama,1874
Wilsonville,Alabama,1873
Butler,Alabama,1870
Cedar Bluff,Alabama,1864
Samson,Alabama,1860
Sulligent,Alabama,1838
Camden,Alabama,1832
Blountsville,Alabama,1827
Level Plains,Alabama,1821
Rehobeth,Alabama,1821
Dauphin Island,Alabama,1814
Crossville,Alabama,1810
Sylvania,Alabama,1800
Sardis City,Alabama,1798
Westover,Alabama,1796
Grove Hill,Alabama,1757
Deatsville,Alabama,1730
Carbon Hill,Alabama,1727
Ragland,Alabama,1707
Harpersville,Alabama,1690
Cordova,Alabama,1681
Sylvan Springs,Alabama,1631
Gordo,Alabama,1612
Newton,Alabama,1607
Woodstock,Alabama,1582
Malvern,Alabama,1543
Summerdale,Alabama,1543
Reform,Alabama,1495
Flomaton,Alabama,1452
New Brockton,Alabama,1437
Hackleburg,Alabama,1430
Ardmore,Alabama,1370
Mount Vernon,Alabama,1362
Rogersville,Alabama,1336
Elmore,Alabama,1335
Munford,Alabama,1333
Hayden,Alabama,1332
Georgiana,Alabama,1315
Webb,Alabama,1283
Goodwater,Alabama,1281
Coosada,Alabama,1257
Cleveland,Alabama,1243
Brookside,Alabama,1232
West Blocton,Alabama,1226
Eclectic,Alabama,1224
Berry,Alabama,1204
Clio,Alabama,1203
Locust Fork,Alabama,1198
Fort Deposit,Alabama,1194
Ohatchee,Alabama,1191
Frisco City,Alabama,1165
Falkville,Alabama,1147
Double Springs,Alabama,1076
Town Creek,Alabama,1053
Cottonwood,Alabama,1046
Bear Creek,Alabama,1043
Grant,Alabama,1040
Killen,Alabama,1040
Littleville,Alabama,1040
Chatom,Alabama,1039
Silverhill,Alabama,1035
Snead,Alabama,1026
Steele,Alabama,1000
Carrollton,Alabama,998
Camp Hill,Alabama,990
Phil Campbell,Alabama,988
